team,strength,win_percentage,avg_goals_for,avg_goals_against,matches,wins,home_win_percentage,away_win_percentage
new zealand,strong,52.74725274725275,2.4505494505494507,1.0769230769230769,91,48,72.91666666666666,30.23255813953488
nicaragua,medium,40.74074074074074,1.5925925925925926,1.7037037037037037,27,11,38.46153846153847,42.857142857142854
niger,weak,30.76923076923077,1.1025641025641026,1.7692307692307692,39,12,40.0,21.052631578947366
nigeria,medium,49.64028776978417,1.5611510791366907,0.8705035971223022,139,69,67.14285714285714,31.88405797101449
north korea,medium,41.66666666666667,1.3333333333333333,1.1203703703703705,108,45,51.85185185185185,31.48148148148148
north macedonia,weak,28.37837837837838,1.337837837837838,1.5675675675675675,74,21,33.33333333333333,23.684210526315788
northern ireland,weak,30.92105263157895,1.0789473684210527,1.2105263157894737,152,47,46.478873239436616,17.28395061728395
norway,weak,36.3013698630137,1.3767123287671232,1.3424657534246576,146,53,44.927536231884055,28.57142857142857
oman,medium,45.09803921568628,1.5686274509803921,0.9607843137254902,102,46,55.769230769230774,34.0
pakistan,weak,2.5,0.375,3.7,40,1,5.263157894736842,0.0
palestine,weak,31.914893617021278,1.5106382978723405,1.297872340425532,47,15,41.66666666666667,21.73913043478261
panama,weak,38.613861386138616,1.3663366336633664,1.3663366336633664,101,39,50.98039215686274,26.0
papua new guinea,weak,33.33333333333333,1.8095238095238095,1.9523809523809523,21,7,25.0,44.44444444444444
paraguay,weak,38.028169014084504,1.192488262910798,1.2300469483568075,213,81,54.285714285714285,22.22222222222222
peru,weak,28.499999999999996,1.05,1.415,200,57,41.23711340206185,16.50485436893204
philippines,weak,20.0,0.8857142857142857,2.342857142857143,35,7,26.666666666666668,15.0
poland,strong,51.49700598802395,1.8682634730538923,1.2095808383233533,167,86,60.71428571428571,42.168674698795186
portugal,strong,54.347826086956516,1.875,1.016304347826087,184,100,67.03296703296702,41.935483870967744
puerto rico,weak,32.0,1.56,1.36,25,8,42.857142857142854,18.181818181818183
qatar,medium,47.44525547445255,1.7080291970802919,1.1167883211678833,137,65,57.14285714285714,35.0
republic of ireland,weak,37.03703703703704,1.3580246913580247,1.154320987654321,162,60,42.5,31.70731707317073
romania,strong,50.31055900621118,1.6956521739130435,1.093167701863354,161,81,61.038961038961034,40.476190476190474
russia,strong,58.57988165680473,1.9112426035502958,0.7869822485207101,169,99,77.21518987341773,42.22222222222222
rwanda,weak,20.0,0.9,1.34,50,10,26.923076923076923,12.5
saarland,weak,25.0,1.0,2.0,4,1,0.0,50.0
saint kitts and nevis,weak,39.473684210526315,1.9210526315789473,1.736842105263158,38,15,45.0,33.33333333333333
saint lucia,weak,26.923076923076923,1.3461538461538463,2.5384615384615383,26,7,45.45454545454545,13.333333333333334
saint vincent and the grenadines,weak,23.4375,1.28125,3.015625,64,15,34.375,12.5
samoa,medium,42.857142857142854,1.5238095238095237,2.5238095238095237,21,9,50.0,28.57142857142857
san marino,weak,0.0,0.16666666666666666,4.653846153846154,78,0,0.0,0.0
saudi arabia,strong,53.84615384615385,1.7514792899408285,0.9230769230769231,169,91,68.88888888888889,36.708860759493675
scotland,medium,46.15384615384615,1.455128205128205,1.1474358974358974,156,72,53.94736842105263,38.75
senegal,medium,44.9438202247191,1.4606741573033708,0.8876404494382022,89,40,59.523809523809526,31.914893617021278
serbia,strong,54.65116279069767,2.011627906976744,0.9767441860465116,86,47,58.536585365853654,51.11111111111111
seychelles,weak,0.0,0.36363636363636365,3.4545454545454546,22,0,0.0,0.0
sierra leone,weak,26.41509433962264,0.9056603773584906,1.490566037735849,53,14,48.148148148148145,3.8461538461538463
singapore,weak,26.506024096385545,1.036144578313253,2.0240963855421685,83,22,34.090909090909086,17.94871794871795
slovakia,medium,46.15384615384615,1.6923076923076923,1.0384615384615385,78,36,56.41025641025641,35.8974358974359
slovenia,weak,38.46153846153847,1.2692307692307692,1.1538461538461537,78,30,51.28205128205128,25.64102564102564
solomon islands,weak,39.02439024390244,2.073170731707317,2.5365853658536586,41,16,52.38095238095239,25.0
somalia,weak,5.263157894736842,0.3157894736842105,2.1052631578947367,19,1,16.666666666666664,0.0
south africa,medium,53.52112676056338,1.3098591549295775,0.9577464788732394,71,38,65.78947368421053,39.39393939393939
south korea,strong,53.69458128078818,1.8177339901477831,0.8669950738916257,203,109,62.616822429906534,43.75
