date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,month
2022-03-24,vietnam,oman,0,1,fifa world cup qualification,hanoi,vietnam,False,away_team,march
2022-03-24,australia,japan,0,2,fifa world cup qualification,sydney,australia,False,away_team,march
2022-03-24,solomon islands,tahiti,3,1,fifa world cup qualification,doha,qatar,True,home_team,march
2022-03-24,fiji,papua new guinea,1,2,fifa world cup qualification,doha,qatar,True,away_team,march
2022-03-24,new caledonia,new zealand,7,1,fifa world cup qualification,doha,qatar,True,home_team,march
2022-03-24,colombia,bolivia,3,0,fifa world cup qualification,barranquilla,colombia,False,home_team,march
2022-03-24,brazil,chile,4,0,fifa world cup qualification,rio de janeiro,brazil,False,home_team,march
2022-03-24,paraguay,ecuador,3,1,fifa world cup qualification,ciudad del este,paraguay,False,home_team,march
2022-03-24,uruguay,peru,1,0,fifa world cup qualification,montevideo,uruguay,False,home_team,march
2022-03-24,italy,north macedonia,0,1,fifa world cup qualification,palermo,italy,False,away_team,march
2022-03-24,portugal,turkey,3,1,fifa world cup qualification,porto,portugal,False,home_team,march
2022-03-24,sweden,czech republic,1,0,fifa world cup qualification,stockholm,sweden,False,home_team,march
2022-03-24,wales,austria,2,1,fifa world cup qualification,cardiff,wales,False,home_team,march
2022-03-25,cameroon,algeria,0,1,fifa world cup qualification,douala,cameroon,False,away_team,march
2022-03-25,dr congo,morocco,1,1,fifa world cup qualification,kinshasa,dr congo,False,draw,march
2022-03-25,egypt,senegal,1,0,fifa world cup qualification,cairo,egypt,False,home_team,march
2022-03-25,ghana,nigeria,0,0,fifa world cup qualification,kumasi,ghana,False,draw,march
2022-03-25,mali,tunisia,0,1,fifa world cup qualification,bamako,mali,False,away_team,march
2022-03-25,argentina,venezuela,3,0,fifa world cup qualification,buenos aires,argentina,False,home_team,march
2022-03-27,el salvador,costa rica,1,2,fifa world cup qualification,san salvador,el salvador,False,away_team,march
2022-03-27,canada,jamaica,4,0,fifa world cup qualification,toronto,canada,False,home_team,march
2022-03-27,honduras,mexico,0,1,fifa world cup qualification,san pedro sula,honduras,False,away_team,march
2022-03-27,united states,panama,5,1,fifa world cup qualification,orlando,united states,False,home_team,march
2022-03-27,new zealand,tahiti,1,0,fifa world cup qualification,doha,qatar,True,home_team,march
2022-03-27,papua new guinea,solomon islands,3,2,fifa world cup qualification,doha,qatar,True,home_team,march
2022-03-29,algeria,cameroon,1,2,fifa world cup qualification,blida,algeria,False,away_team,march
2022-03-29,morocco,dr congo,4,1,fifa world cup qualification,casablanca,morocco,False,home_team,march
2022-03-29,nigeria,ghana,1,1,fifa world cup qualification,abuja,nigeria,False,draw,march
2022-03-29,senegal,egypt,1,0,fifa world cup qualification,diamniadio,senegal,False,home_team,march
2022-03-29,tunisia,mali,0,0,fifa world cup qualification,tunis,tunisia,False,draw,march
2022-03-29,iran,lebanon,2,0,fifa world cup qualification,mashhad,iran,False,home_team,march
2022-03-29,iraq,syria,1,1,fifa world cup qualification,dubai,united arab emirates,True,draw,march
2022-03-29,united arab emirates,south korea,1,0,fifa world cup qualification,dubai,united arab emirates,False,home_team,march
2022-03-29,japan,vietnam,1,1,fifa world cup qualification,saitama,japan,False,draw,march
2022-03-29,oman,china pr,2,0,fifa world cup qualification,muscat,oman,False,home_team,march
2022-03-29,saudi arabia,australia,1,0,fifa world cup qualification,jeddah,saudi arabia,False,home_team,march
2022-03-29,ecuador,argentina,1,1,fifa world cup qualification,guayaquil,ecuador,False,draw,march
2022-03-29,peru,paraguay,2,0,fifa world cup qualification,lima,peru,False,home_team,march
2022-03-29,bolivia,brazil,0,4,fifa world cup qualification,la paz,bolivia,False,away_team,march
2022-03-29,venezuela,colombia,0,1,fifa world cup qualification,guayana,venezuela,False,away_team,march
2022-03-29,chile,uruguay,0,2,fifa world cup qualification,santiago,chile,False,away_team,march
2022-03-29,poland,sweden,2,0,fifa world cup qualification,chorzów,poland,False,home_team,march
2022-03-29,portugal,north macedonia,2,0,fifa world cup qualification,porto,portugal,False,home_team,march
2022-03-30,mexico,el salvador,2,0,fifa world cup qualification,mexico city,mexico,False,home_team,march
2022-03-30,costa rica,united states,2,0,fifa world cup qualification,san josé,costa rica,False,home_team,march
2022-03-30,panama,canada,1,0,fifa world cup qualification,panama city,panama,False,home_team,march
2022-03-30,jamaica,honduras,2,1,fifa world cup qualification,kingston,jamaica,False,home_team,march
2022-03-30,new zealand,solomon islands,0,5,fifa world cup qualification,doha,qatar,True,away_team,march
2022-06-01,scotland,ukraine,1,3,fifa world cup qualification,glasgow,scotland,False,away_team,june
2022-06-05,wales,ukraine,1,0,fifa world cup qualification,cardiff,wales,False,home_team,june
2022-06-07,australia,united arab emirates,1,2,fifa world cup qualification,al rayyan,qatar,True,away_team,june
